Year,County,Ten-Year Age Groups Code,Gender,Race,Deaths,Population,Crude Rate,,,Ten-Year Age Groups Code
2014,"Alameda County, CA",75-84,Male,Black or African American,153,2728,5608.5044,,,75-84
2014,"Alameda County, CA",75-84,Male,White,669,13580,4926.3623,,,75-84
2014,"Alameda County, CA",85+,Female,Asian or Pacific Islander,364,4520,8053.09735,,,85+
2014,"Alameda County, CA",85+,Female,Black or African American,269,2439,11029.11029,,,85+
2014,"Alameda County, CA",85+,Female,White,1380,11505,11994.78488,,,85+
2014,"Alameda County, CA",85+,Male,Asian or Pacific Islander,238,2735,8702.01097,,,85+
2014,"Alameda County, CA",85+,Male,Black or African American,125,1036,12065.63707,,,85+
2014,"Alameda County, CA",85+,Male,White,890,6032,14754.64191,,,85+
2014,"Amador County, CA",45-54,Female,White,10,2178,Unreliable,,,45-54
2014,"Amador County, CA",45-54,Male,White,10,2718,Unreliable,,,45-54
2014,"Amador County, CA",55-64,Female,White,15,3080,Unreliable,,,55-64
2014,"Amador County, CA",55-64,Male,White,32,3063,1044.72739,,,55-64
2014,"Amador County, CA",65-74,Female,White,23,2689,855.33656,,,65-74
2014,"Amador County, CA",65-74,Male,White,57,2657,2145.27663,,,65-74
2014,"Amador County, CA",75-84,Female,White,39,1249,3122.498,,,75-84
2014,"Amador County, CA",75-84,Male,White,54,1203,4488.77805,,,75-84
2014,"Amador County, CA",85+,Female,White,93,638,14576.80251,,,85+
2014,"Amador County, CA",85+,Male,White,80,476,16806.72269,,,85+
2014,"Butte County, CA",15-24,Male,White,11,18851,Unreliable,,,15-24
2014,"Butte County, CA",25-34,Male,White,18,12281,Unreliable,,,25-34
2014,"Butte County, CA",35-44,Female,White,18,10031,Unreliable,,,35-44
2014,"Butte County, CA",35-44,Male,White,24,10409,230.5697,,,35-44
2014,"Butte County, CA",45-54,Female,White,36,11916,302.1148,,,45-54
2014,"Butte County, CA",45-54,Male,White,83,11363,730.4409,,,45-54
2014,"Butte County, CA",55-64,Female,White,124,14341,864.65379,,,55-64
2014,"Butte County, CA",55-64,Male,White,176,13313,1322.01607,,,55-64
2014,"Butte County, CA",65-74,Female,White,156,10619,1469.06488,,,65-74
2014,"Butte County, CA",65-74,Male,White,190,9574,1984.54147,,,65-74
2014,"Butte County, CA",75-84,Female,White,227,5826,3896.32681,,,75-84
2014,"Butte County, CA",75-84,Male,White,245,4679,5236.16157,,,75-84
2014,"Butte County, CA",85+,Female,White,415,3623,11454.59564,,,85+
2014,"Butte County, CA",85+,Male,White,281,2007,14000.99651,,,85+
2014,"Calaveras County, CA",45-54,Female,White,10,3007,Unreliable,,,45-54
2014,"Calaveras County, CA",45-54,Male,White,10,2853,Unreliable,,,45-54
2014,"Calaveras County, CA",55-64,Female,White,24,4134,580.55152,,,55-64
2014,"Calaveras County, CA",55-64,Male,White,40,3902,1025.11533,,,55-64
2014,"Calaveras County, CA",65-74,Female,White,33,3336,989.20863,,,65-74
2014,"Calaveras County, CA",65-74,Male,White,62,3367,1841.40184,,,65-74
2014,"Calaveras County, CA",75-84,Female,White,54,1528,3534.03141,,,75-84
2014,"Calaveras County, CA",75-84,Male,White,70,1492,4691.68901,,,75-84
2014,"Calaveras County, CA",85+,Female,White,79,626,12619.80831,,,85+
2014,"Calaveras County, CA",85+,Male,White,62,417,14868.10552,,,85+
2014,"Colusa County, CA",55-64,Male,White,14,1211,Unreliable,,,55-64
2014,"Colusa County, CA",65-74,Male,White,10,779,Unreliable,,,65-74
2014,"Colusa County, CA",75-84,Male,White,13,339,Unreliable,,,75-84
2014,"Colusa County, CA",85+,Female,White,16,237,Unreliable,,,85+
2014,"Colusa County, CA",85+,Male,White,22,142,15492.95775,,,85+
2014,"Contra Costa County, CA",1,Female,Black or African American,10,799,Unreliable,,,1
2014,"Contra Costa County, CA",1,Male,White,21,4149,506.14606,,,1
2014,"Contra Costa County, CA",15-24,Female,White,17,46755,Unreliable,,,15-24
2014,"Contra Costa County, CA",15-24,Male,Black or African American,20,9968,200.64205,,,15-24
2014,"Contra Costa County, CA",15-24,Male,White,47,49000,95.91837,,,15-24
2014,"Contra Costa County, CA",25-34,Female,Black or African American,13,8607,Unreliable,,,25-34
2014,"Contra Costa County, CA",25-34,Female,White,19,45999,Unreliable,,,25-34
2014,"Contra Costa County, CA",25-34,Male,Black or African American,24,7373,325.512,,,25-34
2014,"Contra Costa County, CA",25-34,Male,White,57,48129,118.43171,,,25-34
2014,"Contra Costa County, CA",35-44,Female,Asian or Pacific Islander,10,18579,Unreliable,,,35-44
2014,"Contra Costa County, CA",35-44,Female,Black or African American,23,8150,282.20859,,,35-44
2014,"Contra Costa County, CA",35-44,Female,White,41,48902,83.84115,,,35-44
2014,"Contra Costa County, CA",35-44,Male,Asian or Pacific Islander,13,15409,Unreliable,,,35-44
2014,"Contra Costa County, CA",35-44,Male,Black or African American,21,6476,324.27424,,,35-44
2014,"Contra Costa County, CA",35-44,Male,White,56,49649,112.7918,,,35-44
2014,"Contra Costa County, CA",45-54,Female,Asian or Pacific Islander,18,16323,Unreliable,,,45-54
2014,"Contra Costa County, CA",45-54,Female,Black or African American,45,8895,505.90219,,,45-54
2014,"Contra Costa County, CA",45-54,Female,White,112,58657,190.94055,,,45-54
2014,"Contra Costa County, CA",45-54,Male,Asian or Pacific Islander,31,14030,220.9551,,,45-54
2014,"Contra Costa County, CA",45-54,Male,Black or African American,37,7539,490.78127,,,45-54
2014,"Contra Costa County, CA",45-54,Male,White,206,58330,353.16304,,,45-54
2014,"Contra Costa County, CA",55-64,Female,Asian or Pacific Islander,22,13629,161.4205,,,55-64
2014,"Contra Costa County, CA",55-64,Female,Black or African American,67,7432,901.507,,,55-64
2014,"Contra Costa County, CA",55-64,Female,White,255,52620,484.60661,,,55-64
2014,"Contra Costa County, CA",55-64,Male,Asian or Pacific Islander,45,11094,405.62466,,,55-64
2014,"Contra Costa County, CA",55-64,Male,Black or African American,87,6070,1433.27842,,,55-64
2014,"Contra Costa County, CA",55-64,Male,White,386,50414,765.66033,,,55-64
2014,"Contra Costa County, CA",65-74,Female,Asian or Pacific Islander,52,8393,619.56392,,,65-74
2014,"Contra Costa County, CA",65-74,Female,Black or African American,92,4405,2088.53575,,,65-74
2014,"Contra Costa County, CA",65-74,Female,White,381,36509,1043.5783,,,65-74
2014,"Contra Costa County, CA",65-74,Male,Asian or Pacific Islander,54,6593,819.05051,,,65-74
2014,"Contra Costa County, CA",65-74,Male,Black or African American,76,3176,2392.9471,,,65-74
2014,"Contra Costa County, CA",65-74,Male,White,529,32037,1651.21578,,,65-74
2014,"Contra Costa County, CA",75-84,Female,Asian or Pacific Islander,80,4040,1980.19802,,,75-84
2014,"Contra Costa County, CA",75-84,Female,Black or African American,88,1988,4426.55936,,,75-84
2014,"Contra Costa County, CA",75-84,Female,White,676,19085,3542.04873,,,75-84
2014,"Contra Costa County, CA",75-84,Male,Asian or Pacific Islander,89,3120,2852.5641,,,75-84
2014,"Contra Costa County, CA",75-84,Male,Black or African American,92,1355,6789.6679,,,75-84
2014,"Contra Costa County, CA",75-84,Male,White,664,14825,4478.92074,,,75-84
2014,"Contra Costa County, CA",85+,Female,Asian or Pacific Islander,121,1729,6998.26489,,,85+
2014,"Contra Costa County, CA",85+,Female,Black or African American,106,972,10905.34979,,,85+
2014,"Contra Costa County, CA",85+,Female,White,1456,11519,12639.98611,,,85+
2014,"Contra Costa County, CA",85+,Male,Asian or Pacific Islander,99,957,10344.82759,,,85+
2014,"Contra Costa County, CA",85+,Male,Black or African American,51,424,12028.30189,,,85+
2014,"Contra Costa County, CA",85+,Male,White,858,6040,14205.29801,,,85+
2014,"Del Norte County, CA",55-64,Female,White,15,1764,Unreliable,,,55-64
2014,"Del Norte County, CA",55-64,Male,White,27,1676,1610.97852,,,55-64
2014,"Del Norte County, CA",65-74,Female,White,29,1152,2517.36111,,,65-74
2014,"Del Norte County, CA",65-74,Male,White,23,1146,2006.9808,,,65-74
2014,"Del Norte County, CA",75-84,Female,White,27,646,4179.56656,,,75-84
2014,"Del Norte County, CA",75-84,Male,White,38,514,7392.99611,,,75-84
2014,"Del Norte County, CA",85+,Female,White,35,270,12962.96296,,,85+
2014,"Del Norte County, CA",85+,Male,White,31,173,17919.07514,,,85+
2014,"El Dorado County, CA",25-34,Male,White,13,8561,Unreliable,,,25-34
2014,"El Dorado County, CA",35-44,Male,White,17,9139,Unreliable,,,35-44
2014,"El Dorado County, CA",45-54,Female,White,28,13176,212.50759,,,45-54
2014,"El Dorado County, CA",45-54,Male,White,59,12683,465.18962,,,45-54
2014,"El Dorado County, CA",55-64,Female,White,71,14733,481.91136,,,55-64
2014,"El Dorado County, CA",55-64,Male,White,114,14380,792.76773,,,55-64
2014,"El Dorado County, CA",65-74,Female,White,103,9577,1075.49337,,,65-74
2014,"El Dorado County, CA",65-74,Male,White,178,9499,1873.88146,,,65-74
2014,"El Dorado County, CA",75-84,Female,White,128,4394,2913.06327,,,75-84
2014,"El Dorado County, CA",75-84,Male,White,197,4146,4751.56778,,,75-84
2014,"El Dorado County, CA",85+,Female,White,261,2241,11646.58635,,,85+
2014,"El Dorado County, CA",85+,Male,White,199,1368,14546.78363,,,85+
2014,"Fresno County, CA",1,Female,White,41,6022,680.83693,,,1
2014,"Fresno County, CA",1,Male,Black or African American,13,612,Unreliable,,,1
2014,"Fresno County, CA",1,Male,White,35,6281,557.23611,,,1
2014,"Fresno County, CA",5-14,Male,White,15,60513,Unreliable,,,43965
2014,"Fresno County, CA",15-24,Female,White,21,56332,37.27899,,,15-24
2014,"Fresno County, CA",15-24,Male,Black or African American,10,5951,Unreliable,,,15-24
2014,"Fresno County, CA",15-24,Male,White,53,58965,89.88383,,,15-24
2014,"Fresno County, CA",25-34,Female,White,36,52546,68.5114,,,25-34
2014,"Fresno County, CA",25-34,Male,Asian or Pacific Islander,13,9828,Unreliable,,,25-34
2014,"Fresno County, CA",25-34,Male,Black or African American,11,4803,Unreliable,,,25-34
2014,"Fresno County, CA",25-34,Male,White,78,56066,139.12175,,,25-34
2014,"Fresno County, CA",35-44,Female,White,55,45660,120.45554,,,35-44
2014,"Fresno County, CA",35-44,Male,Asian or Pacific Islander,11,6323,Unreliable,,,35-44
2014,"Fresno County, CA",35-44,Male,Black or African American,19,3558,Unreliable,,,35-44
2014,"Fresno County, CA",35-44,Male,White,113,47126,239.78271,,,35-44
2014,"Fresno County, CA",45-54,Female,Asian or Pacific Islander,17,6202,Unreliable,,,45-54
2014,"Fresno County, CA",45-54,Female,Black or African American,22,3423,642.71107,,,45-54
2014,"Fresno County, CA",45-54,Female,White,151,45487,331.96298,,,45-54
2014,"Fresno County, CA",45-54,Male,Asian or Pacific Islander,16,5785,Unreliable,,,45-54
2014,"Fresno County, CA",45-54,Male,Black or African American,18,3534,Unreliable,,,45-54
2014,"Fresno County, CA",45-54,Male,White,243,45744,531.21721,,,45-54
2014,"Fresno County, CA",55-64,Female,Asian or Pacific Islander,32,5217,613.37934,,,55-64
2014,"Fresno County, CA",55-64,Female,Black or African American,35,2763,1266.73905,,,55-64
2014,"Fresno County, CA",55-64,Female,White,273,40961,666.48763,,,55-64
2014,"Fresno County, CA",55-64,Male,Asian or Pacific Islander,37,4776,774.70687,,,55-64
2014,"Fresno County, CA",55-64,Male,Black or African American,45,2623,1715.59283,,,55-64
2014,"Fresno County, CA",55-64,Male,White,456,39190,1163.56213,,,55-64
2014,"Fresno County, CA",65-74,Female,Asian or Pacific Islander,31,3156,982.25602,,,65-74
2014,"Fresno County, CA",65-74,Female,Black or African American,29,1478,1962.11096,,,65-74
2014,"Fresno County, CA",65-74,Female,White,401,27206,1473.93957,,,65-74
2014,"Fresno County, CA",65-74,Male,Asian or Pacific Islander,49,2652,1847.66214,,,65-74
2014,"Fresno County, CA",65-74,Male,Black or African American,27,1236,2184.46602,,,65-74
2014,"Fresno County, CA",65-74,Male,White,530,24375,2174.35897,,,65-74
2014,"Fresno County, CA",75-84,Female,Asian or Pacific Islander,38,1674,2270.01195,,,75-84
2014,"Fresno County, CA",75-84,Female,Black or African American,36,751,4793.60852,,,75-84
2014,"Fresno County, CA",75-84,Female,White,623,15269,4080.16242,,,75-84
2014,"Fresno County, CA",75-84,Male,Asian or Pacific Islander,36,1289,2792.86268,,,75-84
2014,"Fresno County, CA",75-84,Male,Black or African American,26,545,4770.6422,,,75-84
2014,"Fresno County, CA",75-84,Male,White,652,11592,5624.56867,,,75-84
2014,"Fresno County, CA",85+,Female,Asian or Pacific Islander,83,953,8709.33893,,,85+
2014,"Fresno County, CA",85+,Female,Black or African American,26,321,8099.68847,,,85+
2014,"Fresno County, CA",85+,Female,White,1068,8088,13204.74777,,,85+
2014,"Fresno County, CA",85+,Male,Asian or Pacific Islander,47,555,8468.46847,,,85+
2014,"Fresno County, CA",85+,Male,Black or African American,23,144,15972.22222,,,85+
2014,"Fresno County, CA",85+,Male,White,688,4641,14824.39129,,,85+
2014,"Glenn County, CA",45-54,Male,White,10,1623,Unreliable,,,45-54
2014,"Glenn County, CA",55-64,Female,White,21,1609,1305.15848,,,55-64
2014,"Glenn County, CA",55-64,Male,White,16,1664,Unreliable,,,55-64
2014,"Glenn County, CA",65-74,Female,White,22,1085,2027.64977,,,65-74
2014,"Glenn County, CA",65-74,Male,White,29,1069,2712.81572,,,65-74
2014,"Glenn County, CA",75-84,Female,White,33,673,4903.41753,,,75-84
2014,"Glenn County, CA",75-84,Male,White,32,571,5604.20315,,,75-84
2014,"Glenn County, CA",85+,Female,White,47,324,14506.17284,,,85+
2014,"Glenn County, CA",85+,Male,White,30,200,15000,,,85+
2014,"Humboldt County, CA",15-24,Male,White,11,9001,Unreliable,,,15-24
2014,"Humboldt County, CA",25-34,Male,White,17,8371,Unreliable,,,25-34
2014,"Humboldt County, CA",35-44,Male,White,21,7445,282.0685,,,35-44
2014,"Humboldt County, CA",45-54,Female,White,30,6877,436.23673,,,45-54
2014,"Humboldt County, CA",45-54,Male,White,63,7112,885.82677,,,45-54
2014,"Humboldt County, CA",55-64,Female,White,70,9274,754.79836,,,55-64
2014,"Humboldt County, CA",55-64,Male,American Indian or Alaska Native,15,454,Unreliable,,,55-64
2014,"Humboldt County, CA",55-64,Male,White,111,8720,1272.93578,,,55-64
2014,"Humboldt County, CA",65-74,Female,American Indian or Alaska Native,10,292,Unreliable,,,65-74
2014,"Humboldt County, CA",65-74,Female,White,91,5949,1529.66885,,,65-74
2014,"Humboldt County, CA",65-74,Male,American Indian or Alaska Native,10,222,Unreliable,,,65-74
2014,"Humboldt County, CA",65-74,Male,White,128,5803,2205.75564,,,65-74
2014,"Humboldt County, CA",75-84,Female,White,135,2836,4760.22567,,,75-84
2014,"Humboldt County, CA",75-84,Male,White,135,2249,6002.66785,,,75-84
2014,"Humboldt County, CA",85+,Female,White,229,1662,13778.58002,,,85+
2014,"Humboldt County, CA",85+,Male,White,127,926,13714.90281,,,85+
2014,"Imperial County, CA",25-34,Male,White,15,12206,Unreliable,,,25-34
2014,"Imperial County, CA",35-44,Female,White,10,9314,Unreliable,,,35-44
2014,"Imperial County, CA",35-44,Male,White,24,9767,245.7254,,,35-44
2014,"Imperial County, CA",45-54,Female,White,26,9898,262.67933,,,45-54
2014,"Imperial County, CA",45-54,Male,White,49,9421,520.11464,,,45-54
2014,"Imperial County, CA",55-64,Female,White,54,8905,606.4009,,,55-64
2014,"Imperial County, CA",55-64,Male,White,105,7924,1325.08834,,,55-64
2014,"Imperial County, CA",65-74,Female,White,56,5834,959.8903,,,65-74
2014,"Imperial County, CA",65-74,Male,White,118,4965,2376.63646,,,65-74
2014,"Imperial County, CA",75-84,Female,White,105,3575,2937.06294,,,75-84
2014,"Imperial County, CA",75-84,Male,White,155,2866,5408.23447,,,75-84
2014,"Imperial County, CA",85+,Female,White,129,1576,8185.27919,,,85+
2014,"Imperial County, CA",85+,Male,White,123,1076,11431.22677,,,85+
2014,"Inyo County, CA",55-64,Male,White,18,1358,Unreliable,,,55-64
2014,"Inyo County, CA",65-74,Female,White,10,924,Unreliable,,,65-74
2014,"Inyo County, CA",65-74,Male,White,24,984,2439.02439,,,65-74
2014,"Inyo County, CA",75-84,Female,White,21,574,3658.53659,,,75-84
2014,"Inyo County, CA",75-84,Male,White,15,562,Unreliable,,,75-84
2014,"Inyo County, CA",85+,Female,White,34,328,10365.85366,,,85+
2014,"Inyo County, CA",85+,Male,White,22,189,11640.21164,,,85+
2014,"Kern County, CA",1,Female,White,31,5951,520.92085,,,1
2014,"Kern County, CA",1,Male,White,34,6182,549.98382,,,1
2014,"Kern County, CA",5-14,Male,White,11,60851,Unreliable,,,43965
2014,"Kern County, CA",15-24,Female,White,20,54366,36.7877,,,15-24
2014,"Kern County, CA",15-24,Male,White,76,60372,125.88617,,,15-24
2014,"Kern County, CA",25-34,Female,White,33,50185,65.7567,,,25-34
2014,"Kern County, CA",25-34,Male,White,100,59462,168.17463,,,25-34
2014,"Kern County, CA",35-44,Female,White,67,43579,153.74378,,,35-44
2014,"Kern County, CA",35-44,Male,Black or African American,14,4045,Unreliable,,,35-44
2014,"Kern County, CA",35-44,Male,White,106,48181,220.00374,,,35-44
2014,"Kern County, CA",45-54,Female,Black or African American,26,3001,866.37787,,,45-54
2014,"Kern County, CA",45-54,Female,White,157,43473,361.1437,,,45-54
2014,"Kern County, CA",45-54,Male,Black or African American,25,3677,679.90209,,,45-54
2014,"Kern County, CA",45-54,Male,White,287,45730,627.59676,,,45-54
2014,"Kern County, CA",55-64,Female,Black or African American,35,2510,1394.42231,,,55-64
2014,"Kern County, CA",55-64,Female,White,311,37007,840.38155,,,55-64
2014,"Kern County, CA",55-64,Male,Asian or Pacific Islander,23,2581,891.12747,,,55-64
2014,"Kern County, CA",55-64,Male,Black or African American,59,2583,2284.1657,,,55-64
2014,"Kern County, CA",55-64,Male,White,490,37714,1299.25227,,,55-64
2014,"Kern County, CA",65-74,Female,Asian or Pacific Islander,15,1791,Unreliable,,,65-74
2014,"Kern County, CA",65-74,Female,Black or African American,20,1244,1607.71704,,,65-74
2014,"Kern County, CA",65-74,Female,White,419,23350,1794.43255,,,65-74
2014,"Kern County, CA",65-74,Male,Asian or Pacific Islander,16,1497,Unreliable,,,65-74
2014,"Kern County, CA",65-74,Male,Black or African American,39,1126,3463.58792,,,65-74
2014,"Kern County, CA",65-74,Male,White,543,21427,2534.18584,,,65-74
2014,"Kern County, CA",75-84,Female,Asian or Pacific Islander,25,843,2965.59905,,,75-84
2014,"Kern County, CA",75-84,Female,Black or African American,21,586,3583.61775,,,75-84
2014,"Kern County, CA",75-84,Female,White,585,12183,4801.77296,,,75-84
2014,"Kern County, CA",75-84,Male,American Indian or Alaska Native,10,195,Unreliable,,,75-84
2014,"Kern County, CA",75-84,Male,Asian or Pacific Islander,16,628,Unreliable,,,75-84
2014,"Kern County, CA",75-84,Male,Black or African American,34,439,7744.87472,,,75-84
2014,"Kern County, CA",75-84,Male,White,605,9878,6124.7216,,,75-84
2014,"Kern County, CA",85+,Female,Asian or Pacific Islander,34,307,11074.91857,,,85+
2014,"Kern County, CA",85+,Female,Black or African American,36,260,13846.15385,,,85+
2014,"Kern County, CA",85+,Female,White,785,5432,14451.39912,,,85+
2014,"Kern County, CA",85+,Male,Asian or Pacific Islander,21,204,10294.11765,,,85+
2014,"Kern County, CA",85+,Male,Black or African American,19,108,Unreliable,,,85+
2014,"Kern County, CA",85+,Male,White,474,3159,15004.74834,,,85+
2014,"Kings County, CA",25-34,Male,White,15,12026,Unreliable,,,25-34
2014,"Kings County, CA",35-44,Male,White,16,9923,Unreliable,,,35-44
2014,"Kings County, CA",45-54,Female,White,22,6530,336.90658,,,45-54
2014,"Kings County, CA",45-54,Male,White,48,8671,553.56937,,,45-54
2014,"Kings County, CA",55-64,Female,White,33,5306,621.93743,,,55-64
2014,"Kings County, CA",55-64,Male,White,78,6221,1253.81771,,,55-64
2014,"Kings County, CA",65-74,Female,White,47,3527,1332.57726,,,65-74
2014,"Kings County, CA",65-74,Male,White,74,3358,2203.69267,,,65-74
2014,"Kings County, CA",75-84,Female,White,79,2030,3891.62562,,,75-84
2014,"Kings County, CA",75-84,Male,White,82,1627,5039.95083,,,75-84
2014,"Kings County, CA",85+,Female,White,111,869,12773.30265,,,85+
2014,"Kings County, CA",85+,Male,White,66,526,12547.52852,,,85+
2014,"Lake County, CA",35-44,Male,White,13,2903,Unreliable,,,35-44
2014,"Lake County, CA",45-54,Female,White,22,4030,545.90571,,,45-54
2014,"Lake County, CA",45-54,Male,White,35,3856,907.67635,,,45-54
2014,"Lake County, CA",55-64,Female,White,44,5235,840.49666,,,55-64
2014,"Lake County, CA",55-64,Male,White,68,4920,1382.11382,,,55-64
2014,"Lake County, CA",65-74,Female,White,65,3752,1732.40938,,,65-74
2014,"Lake County, CA",65-74,Male,White,87,3763,2311.98512,,,65-74
2014,"Lake County, CA",75-84,Female,White,80,1762,4540.29512,,,75-84
2014,"Lake County, CA",75-84,Male,White,74,1681,4402.14158,,,75-84
2014,"Lake County, CA",85+,Female,White,110,815,13496.93252,,,85+
2014,"Lake County, CA",85+,Male,White,84,571,14711.03327,,,85+
2014,"Lassen County, CA",45-54,Female,White,11,1474,Unreliable,,,45-54
2014,"Lassen County, CA",55-64,Female,White,13,1634,Unreliable,,,55-64
2014,"Lassen County, CA",55-64,Male,White,17,1923,Unreliable,,,55-64
2014,"Lassen County, CA",65-74,Female,White,15,1116,Unreliable,,,65-74
2014,"Lassen County, CA",65-74,Male,White,25,1141,2191.06047,,,65-74
2014,"Lassen County, CA",75-84,Female,White,20,509,3929.27308,,,75-84
2014,"Lassen County, CA",75-84,Male,White,28,495,5656.56566,,,75-84
2014,"Lassen County, CA",85+,Female,White,28,277,10108.30325,,,85+
2014,"Lassen County, CA",85+,Male,White,19,177,Unreliable,,,85+
2014,"Los Angeles County, CA",1,Female,Asian or Pacific Islander,28,7991,350.39419,,,1
2014,"Los Angeles County, CA",1,Female,Black or African American,43,6182,695.56778,,,1
2014,"Los Angeles County, CA",1,Female,White,181,48510,373.11894,,,1
2014,"Los Angeles County, CA",1,Male,Asian or Pacific Islander,24,8426,284.83266,,,1
2014,"Los Angeles County, CA",1,Male,Black or African American,41,6475,633.20463,,,1
2014,"Los Angeles County, CA",1,Male,White,205,50378,406.92366,,,1
2014,"Los Angeles County, CA",1-4,Female,White,37,193387,19.13262,,,43834
2014,"Los Angeles County, CA",1-4,Male,Black or African American,10,24493,Unreliable,,,43834
2014,"Los Angeles County, CA",1-4,Male,White,40,200636,19.9366,,,43834
2014,"Los Angeles County, CA",5-14,Female,White,32,466725,6.85629,,,43965
2014,"Los Angeles County, CA",5-14,Male,Black or African American,11,63818,Unreliable,,,43965
2014,"Los Angeles County, CA",5-14,Male,White,64,487063,13.13998,,,43965
2014,"Los Angeles County, CA",15-24,Female,Asian or Pacific Islander,17,96488,Unreliable,,,15-24
2014,"Los Angeles County, CA",15-24,Female,Black or African American,28,75625,37.02479,,,15-24
2014,"Los Angeles County, CA",15-24,Female,White,140,533959,26.21924,,,15-24
2014,"Los Angeles County, CA",15-24,Male,Asian or Pacific Islander,30,99855,30.04356,,,15-24
2014,"Los Angeles County, CA",15-24,Male,Black or African American,94,76065,123.57852,,,15-24
2014,"Los Angeles County, CA",15-24,Male,White,397,551271,72.0154,,,15-24
2014,"Los Angeles County, CA",25-34,Female,Asian or Pacific Islander,37,132002,28.02988,,,25-34
2014,"Los Angeles County, CA",25-34,Female,Black or African American,50,76062,65.73585,,,25-34
2014,"Los Angeles County, CA",25-34,Female,White,196,550277,35.61842,,,25-34
2014,"Los Angeles County, CA",25-34,Male,Asian or Pacific Islander,57,124056,45.94699,,,25-34
2014,"Los Angeles County, CA",25-34,Male,Black or African American,157,71238,220.388,,,25-34
2014,"Los Angeles County, CA",25-34,Male,White,600,590513,101.60657,,,25-34
2014,"Los Angeles County, CA",35-44,Female,Asian or Pacific Islander,59,126692,46.56963,,,35-44
